U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
21.89,-5.97115e-09,0,-196.778,1,0.6825,-2.3175,0,0.05,210
21.89,-5.95208e-09,0,-196.778,1,0.68575,-2.31425,0,0.05,211
21.89,-5.933e-09,0,-196.778,1,0.689,-2.311,0,0.05,212
21.89,-5.91393e-09,0,-196.778,1,0.69225,-2.30775,0,0.05,213
21.89,-5.89485e-09,0,-196.778,1,0.6955,-2.3045,0,0.05,214
21.89,-5.87578e-09,0,-196.778,1,0.69875,-2.30125,0,0.05,215
21.89,-5.84569e-09,0,-196.778,1,0.702,-2.298,0,0.05,216
21.89,-5.8087e-09,0,-196.778,1,0.70525,-2.29475,0,0.05,217
21.89,-5.77172e-09,0,-196.778,1,0.7085,-2.2915,0,0.05,218
21.89,-5.73473e-09,0,-196.778,1,0.71175,-2.28825,0,0.05,219
21.89,-5.69775e-09,0,-196.778,1,0.715,-2.285,0,0.05,220
21.89,-5.66077e-09,0,-196.778,1,0.71825,-2.28175,0,0.05,221
21.89,-5.62378e-09,0,-196.778,1,0.7215,-2.2785,0,0.05,222
21.89,-5.5868e-09,0,-196.778,1,0.72475,-2.27525,0,0.05,223
21.89,-5.54982e-09,0,-196.778,1,0.728,-2.272,0,0.05,224
21.89,-5.51283e-09,0,-196.778,1,0.73125,-2.26875,0,0.05,225
21.89,-5.47585e-09,0,-196.778,1,0.7345,-2.2655,0,0.05,226
21.89,-5.43887e-09,0,-196.778,1,0.73775,-2.26225,0,0.05,227
21.89,-5.40188e-09,0,-196.778,1,0.741,-2.259,0,0.05,228
21.89,-5.3649e-09,0,-196.778,1,0.74425,-2.25575,0,0.05,229
21.89,-5.32792e-09,0,-196.778,1,0.7475,-2.2525,0,0.05,230
21.89,-5.28701e-09,0,-196.778,1,0.75075,-2.24925,0,0.05,231
21.89,-5.23303e-09,0,-196.778,1,0.754,-2.246,0,0.05,232
21.89,-5.17905e-09,0,-196.778,1,0.75725,-2.24275,0,0.05,233
21.89,-5.12508e-09,0,-196.778,1,0.7605,-2.2395,0,0.05,234
21.89,-5.07109e-09,0,-196.778,1,0.76375,-2.23625,0,0.05,235
21.89,-5.01712e-09,0,-196.778,1,0.767,-2.233,0,0.05,236
21.89,-4.96314e-09,0,-196.778,1,0.77025,-2.22975,0,0.05,237
21.89,-4.90916e-09,0,-196.778,1,0.7735,-2.2265,0,0.05,238
21.89,-4.85518e-09,0,-196.778,1,0.77675,-2.22325,0,0.05,239
21.89,-4.8012e-09,0,-196.778,1,0.78,-2.22,0,0.05,240
21.89,-4.74722e-09,0,-196.778,1,0.78325,-2.21675,0,0.05,241
21.89,-4.69324e-09,0,-196.778,1,0.7865,-2.2135,0,0.05,242
21.89,-4.63926e-09,0,-196.778,1,0.78975,-2.21025,0,0.05,243
21.89,-4.58529e-09,0,-196.778,1,0.793,-2.207,0,0.05,244
21.89,-4.53131e-09,0,-196.778,1,0.79625,-2.20375,0,0.05,245
21.89,-4.47733e-09,0,-196.778,1,0.7995,-2.2005,0,0.05,246
21.89,-4.41111e-09,0,-196.778,1,0.80275,-2.19725,0,0.05,247
21.89,-4.34267e-09,0,-196.778,1,0.806,-2.194,0,0.05,248
21.89,-4.27423e-09,0,-196.778,1,0.80925,-2.19075,0,0.05,249
21.89,-4.20579e-09,0,-196.778,1,0.8125,-2.1875,0,0.05,250
21.89,-4.13735e-09,0,-196.778,1,0.81575,-2.18425,0,0.05,251
21.89,-4.0689e-09,0,-196.778,1,0.819,-2.181,0,0.05,252
21.89,-4.00047e-09,0,-196.778,1,0.82225,-2.17775,0,0.05,253
21.89,-3.93202e-09,0,-196.778,1,0.8255,-2.1745,0,0.05,254
21.89,-3.86358e-09,0,-196.778,1,0.82875,-2.17125,0,0.05,255
21.89,-3.79514e-09,0,-196.778,1,0.832,-2.168,0,0.05,256
21.89,-3.7267e-09,0,-196.778,1,0.83525,-2.16475,0,0.05,257
21.89,-3.65826e-09,0,-196.778,1,0.8385,-2.1615,0,0.05,258
21.89,-3.58982e-09,0,-196.778,1,0.84175,-2.15825,0,0.05,259
21.89,-3.52137e-09,0,-196.778,1,0.845,-2.155,0,0.05,260
21.89,-3.45293e-09,0,-196.778,1,0.84825,-2.15175,0,0.05,261
21.89,-3.3793e-09,0,-196.778,1,0.8515,-2.1485,0,0.05,262
21.89,-3.29961e-09,0,-196.778,1,0.85475,-2.14525,0,0.05,263
21.89,-3.21992e-09,0,-196.778,1,0.858,-2.142,0,0.05,264
21.89,-3.14024e-09,0,-196.778,1,0.86125,-2.13875,0,0.05,265
21.89,-3.06055e-09,0,-196.778,1,0.8645,-2.1355,0,0.05,266
21.89,-2.98087e-09,0,-196.778,1,0.86775,-2.13225,0,0.05,267
21.89,-2.90118e-09,0,-196.778,1,0.871,-2.129,0,0.05,268
21.89,-2.82149e-09,0,-196.778,1,0.87425,-2.12575,0,0.05,269
21.89,-2.7418e-09,0,-196.778,1,0.8775,-2.1225,0,0.05,270
21.89,-2.66212e-09,0,-196.778,1,0.88075,-2.11925,0,0.05,271
21.89,-2.58243e-09,0,-196.778,1,0.884,-2.116,0,0.05,272
21.89,-2.50274e-09,0,-196.778,1,0.88725,-2.11275,0,0.05,273
21.89,-2.42305e-09,0,-196.778,1,0.8905,-2.1095,0,0.05,274
21.89,-2.34337e-09,0,-196.778,1,0.89375,-2.10625,0,0.05,275
21.89,-2.26368e-09,0,-196.778,1,0.897,-2.103,0,0.05,276
21.89,-2.18337e-09,0,-196.778,1,0.90025,-2.09975,0,0.05,277
21.89,-2.09557e-09,0,-196.778,1,0.9035,-2.0965,0,0.05,278
21.89,-2.00778e-09,0,-196.778,1,0.90675,-2.09325,0,0.05,279
21.89,-1.91999e-09,0,-196.778,1,0.91,-2.09,0,0.05,280
21.89,-1.83219e-09,0,-196.778,1,0.91325,-2.08675,0,0.05,281
21.89,-1.7444e-09,0,-196.778,1,0.9165,-2.0835,0,0.05,282
21.89,-1.65661e-09,0,-196.778,1,0.91975,-2.08025,0,0.05,283
21.89,-1.56881e-09,0,-196.778,1,0.923,-2.077,0,0.05,284
21.89,-1.48102e-09,0,-196.778,1,0.92625,-2.07375,0,0.05,285
21.89,-1.39322e-09,0,-196.778,1,0.9295,-2.0705,0,0.05,286
21.89,-1.30543e-09,0,-196.778,1,0.93275,-2.06725,0,0.05,287
21.89,-1.21763e-09,0,-196.778,1,0.936,-2.064,0,0.05,288
21.89,-1.12984e-09,0,-196.778,1,0.93925,-2.06075,0,0.05,289
21.89,-1.04204e-09,0,-196.778,1,0.9425,-2.0575,0,0.05,290
21.89,-9.54254e-10,0,-196.778,1,0.94575,-2.05425,0,0.05,291
21.89,-8.66463e-10,0,-196.778,1,0.949,-2.051,0,0.05,292
21.89,-7.74853e-10,0,-196.778,1,0.95225,-2.04775,0,0.05,293
21.89,-6.81556e-10,0,-196.778,1,0.9555,-2.0445,0,0.05,294
21.89,-5.88252e-10,0,-196.778,1,0.95875,-2.04125,0,0.05,295
21.89,-4.94954e-10,0,-196.778,1,0.962,-2.038,0,0.05,296
21.89,-4.0165e-10,0,-196.778,1,0.96525,-2.03475,0,0.05,297
21.89,-3.08353e-10,0,-196.778,1,0.9685,-2.0315,0,0.05,298
21.89,-2.15048e-10,0,-196.778,1,0.97175,-2.02825,0,0.05,299
21.89,-1.21751e-10,0,-196.778,1,0.975,-2.025,0,0.05,300
21.89,-2.84467e-11,0,-196.778,1,0.97825,-2.02175,0,0.05,301
21.89,6.48508e-11,0,-196.778,1,0.9815,-2.0185,0,0.05,302
21.89,1.58155e-10,0,-196.778,1,0.98475,-2.01525,0,0.05,303
21.89,2.51452e-10,0,-196.778,1,0.988,-2.012,0,0.05,304
21.89,3.44757e-10,0,-196.778,1,0.99125,-2.00875,0,0.05,305
21.89,4.38054e-10,0,-196.778,1,0.9945,-2.0055,0,0.05,306
21.89,5.31358e-10,0,-196.778,1,0.99775,-2.00225,0,0.05,307
21.89,6.25769e-10,0,-196.778,1,1.001,-1.999,0,0.05,308
21.89,7.22676e-10,0,-196.778,1,1.00425,-1.99575,0,0.05,309
21.89,8.19582e-10,0,-196.778,1,1.0075,-1.9925,0,0.05,310
21.89,9.16489e-10,0,-196.778,1,1.01075,-1.98925,0,0.05,311
21.89,1.0134e-09,0,-196.778,1,1.014,-1.986,0,0.05,312
21.89,1.1103e-09,0,-196.778,1,1.01725,-1.98275,0,0.05,313
21.89,1.20721e-09,0,-196.778,1,1.0205,-1.9795,0,0.05,314
21.89,1.30411e-09,0,-196.778,1,1.02375,-1.97625,0,0.05,315
21.89,1.40102e-09,0,-196.778,1,1.027,-1.973,0,0.05,316
21.89,1.49793e-09,0,-196.778,1,1.03025,-1.96975,0,0.05,317
21.89,1.59483e-09,0,-196.778,1,1.0335,-1.9665,0,0.05,318
21.89,1.69174e-09,0,-196.778,1,1.03675,-1.96325,0,0.05,319
21.89,1.78865e-09,0,-196.778,1,1.04,-1.96,0,0.05,320
21.89,1.88555e-09,0,-196.778,1,1.04325,-1.95675,0,0.05,321
21.89,1.98246e-09,0,-196.778,1,1.0465,-1.9535,0,0.05,322
21.89,2.07937e-09,0,-196.778,1,1.04975,-1.95025,0,0.05,323
21.89,2.17843e-09,0,-196.778,1,1.053,-1.947,0,0.05,324
21.89,2.27766e-09,0,-196.778,1,1.05625,-1.94375,0,0.05,325
21.89,2.3769e-09,0,-196.778,1,1.0595,-1.9405,0,0.05,326
21.89,2.47614e-09,0,-196.778,1,1.06275,-1.93725,0,0.05,327
21.89,2.57538e-09,0,-196.778,1,1.066,-1.934,0,0.05,328
21.89,2.67462e-09,0,-196.778,1,1.06925,-1.93075,0,0.05,329
21.89,2.77385e-09,0,-196.778,1,1.0725,-1.9275,0,0.05,330
21.89,2.87309e-09,0,-196.778,1,1.07575,-1.92425,0,0.05,331
21.89,2.97233e-09,0,-196.778,1,1.079,-1.921,0,0.05,332
21.89,3.07157e-09,0,-196.778,1,1.08225,-1.91775,0,0.05,333
21.89,3.17081e-09,0,-196.778,1,1.0855,-1.9145,0,0.05,334
21.89,3.27004e-09,0,-196.778,1,1.08875,-1.91125,0,0.05,335
21.89,3.36928e-09,0,-196.778,1,1.092,-1.908,0,0.05,336
21.89,3.46852e-09,0,-196.778,1,1.09525,-1.90475,0,0.05,337
21.89,3.56776e-09,0,-196.778,1,1.0985,-1.9015,0,0.05,338
21.89,3.6678e-09,0,-196.778,1,1.10175,-1.89825,0,0.05,339
21.89,3.76852e-09,0,-196.778,1,1.105,-1.895,0,0.05,340
21.89,3.86924e-09,0,-196.778,1,1.10825,-1.89175,0,0.05,341
