       np1       np2       ns1       ns2        ne
       -1.075145089377518       -0.039056723645233        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.154793258545379        0.074552870282083        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.186082712960203       -0.041322970765677        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.264701357428118        0.072316386898782        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.294438980981724       -0.044874619950963        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.809273981597212       -0.059464770739278        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.775835525842032        0.074252694417171        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.710691800494172       -0.047600368052783        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.368904331258608        0.066639615163477        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.445213702225045        0.043112738338137        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.632400305810132        0.069931300932850        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.521953711368889        0.066187468875404        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.395871131498188       -0.051414645501904        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.597209169371635       -0.046854168860810        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.493370281235507       -0.050623059616843        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -0.102455341184563        0.000107313240771        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
       -1.888276290672583        0.005902482596043        9.090909090909092        0.000000000000000        0.000000000000000        9.090909090909092         0
