x,y,Density,Momentum_x,Momentum_y,Energy,Pressure,Temperature,Mach,C<sub>p</sub>,Roe_Dissipation,
-1.96667,-0.118998,1.22526,41.1135,-0.000154525,254052,101345,288.14,0.0986064,0.0281536,0,
-1.96667,-0.115825,1.22526,41.1135,-0.000147497,254052,101345,288.14,0.0986063,0.0281566,0,
-1.96667,-0.112652,1.22526,41.1134,-0.000140469,254052,101345,288.14,0.0986062,0.0281596,0,
-1.96667,-0.109479,1.22526,41.1134,-0.000133441,254052,101345,288.14,0.0986061,0.0281626,0,
-1.96667,-0.106305,1.22526,41.1134,-0.000130042,254052,101345,288.14,0.0986061,0.0281631,0,
-1.96667,-0.103132,1.22526,41.1134,-0.000127152,254052,101345,288.14,0.0986062,0.0281633,0,
-1.96667,-0.0999587,1.22526,41.1134,-0.000124262,254052,101345,288.14,0.0986062,0.0281634,0,
-1.96667,-0.0967854,1.22526,41.1134,-0.000121372,254052,101345,288.14,0.0986062,0.0281636,0,
-1.96667,-0.0936121,1.22526,41.1135,-0.000118482,254052,101345,288.14,0.0986062,0.0281638,0,
-1.96667,-0.0904389,1.22526,41.1135,-0.000112125,254052,101345,288.14,0.0986063,0.0281647,0,
-1.96667,-0.0872656,1.22526,41.1135,-0.000108021,254052,101345,288.14,0.0986063,0.0281666,0,
-1.96667,-0.0840923,1.22526,41.1135,-9.82687e-05,254052,101345,288.14,0.0986063,0.0281684,0,
-1.96667,-0.080919,1.22526,41.1135,-8.85163e-05,254052,101345,288.14,0.0986063,0.0281701,0,
-1.96667,-0.0777457,1.22526,41.1135,-7.87639e-05,254052,101345,288.14,0.0986063,0.0281718,0,
-1.96667,-0.0745724,1.22526,41.1135,-6.90115e-05,254052,101345,288.14,0.0986064,0.0281736,0,
-1.96667,-0.0713991,1.22526,41.1135,-6.29215e-05,254052,101345,288.14,0.0986064,0.0281734,0,
-1.96667,-0.0682258,1.22526,41.1135,-5.91345e-05,254052,101345,288.14,0.0986064,0.028172,0,
-1.96667,-0.0650525,1.22526,41.1135,-5.53474e-05,254052,101345,288.14,0.0986065,0.0281707,0,
-1.96667,-0.0618792,1.22526,41.1136,-5.15604e-05,254052,101345,288.14,0.0986065,0.0281693,0,
-1.96667,-0.0587059,1.22526,41.1136,-4.77734e-05,254052,101345,288.14,0.0986065,0.0281679,0,
-1.96667,-0.0555326,1.22526,41.1136,-4.38032e-05,254052,101345,288.14,0.0986065,0.0281671,0,
-1.96667,-0.0523593,1.22526,41.1136,-4.19348e-05,254052,101345,288.14,0.0986065,0.0281684,0,
-1.96667,-0.049186,1.22526,41.1136,-4.00664e-05,254052,101345,288.14,0.0986065,0.0281697,0,
-1.96667,-0.0460127,1.22526,41.1136,-3.8198e-05,254052,101345,288.14,0.0986065,0.028171,0,
-1.96667,-0.0428395,1.22526,41.1136,-3.63296e-05,254052,101345,288.14,0.0986065,0.0281723,0,
-1.96667,-0.0396662,1.22526,41.1135,-3.44611e-05,254052,101345,288.14,0.0986065,0.0281736,0,
-1.96667,-0.0364929,1.22526,41.1135,-3.05835e-05,254052,101345,288.14,0.0986064,0.0281728,0,
-1.96667,-0.0333196,1.22526,41.1135,-2.62184e-05,254052,101345,288.14,0.0986064,0.0281716,0,
-1.96667,-0.0301463,1.22526,41.1135,-2.18533e-05,254052,101345,288.14,0.0986064,0.0281704,0,
