U:0,U:1,U:2,p,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
17.03,-3.28876e-10,0,-216.423,1,0.59475,-2.40525,0,0.05,183
17.03,-3.32584e-10,0,-216.423,1,0.598,-2.402,0,0.05,184
17.03,-3.3595e-10,0,-216.423,1,0.60125,-2.39875,0,0.05,185
17.03,-3.38771e-10,0,-216.423,1,0.6045,-2.3955,0,0.05,186
17.03,-3.41591e-10,0,-216.423,1,0.60775,-2.39225,0,0.05,187
17.03,-3.44411e-10,0,-216.423,1,0.611,-2.389,0,0.05,188
17.03,-3.47231e-10,0,-216.423,1,0.61425,-2.38575,0,0.05,189
17.03,-3.50051e-10,0,-216.423,1,0.6175,-2.3825,0,0.05,190
17.03,-3.52871e-10,0,-216.423,1,0.62075,-2.37925,0,0.05,191
17.03,-3.55692e-10,0,-216.423,1,0.624,-2.376,0,0.05,192
17.03,-3.58512e-10,0,-216.423,1,0.62725,-2.37275,0,0.05,193
17.03,-3.61332e-10,0,-216.423,1,0.6305,-2.3695,0,0.05,194
17.03,-3.64152e-10,0,-216.423,1,0.63375,-2.36625,0,0.05,195
17.03,-3.66972e-10,0,-216.423,1,0.637,-2.363,0,0.05,196
17.03,-3.69792e-10,0,-216.423,1,0.64025,-2.35975,0,0.05,197
17.03,-3.72612e-10,0,-216.423,1,0.6435,-2.3565,0,0.05,198
17.03,-3.75433e-10,0,-216.423,1,0.64675,-2.35325,0,0.05,199
17.03,-3.78253e-10,0,-216.423,1,0.65,-2.35,0,0.05,200
17.03,-3.80072e-10,0,-216.423,1,0.65325,-2.34675,0,0.05,201
17.03,-3.81892e-10,0,-216.423,1,0.6565,-2.3435,0,0.05,202
17.03,-3.83711e-10,0,-216.423,1,0.65975,-2.34025,0,0.05,203
17.03,-3.85531e-10,0,-216.423,1,0.663,-2.337,0,0.05,204
17.03,-3.8735e-10,0,-216.423,1,0.66625,-2.33375,0,0.05,205
17.03,-3.8917e-10,0,-216.423,1,0.6695,-2.3305,0,0.05,206
17.03,-3.90989e-10,0,-216.423,1,0.67275,-2.32725,0,0.05,207
17.03,-3.92809e-10,0,-216.423,1,0.676,-2.324,0,0.05,208
17.03,-3.94628e-10,0,-216.423,1,0.67925,-2.32075,0,0.05,209
17.03,-3.96447e-10,0,-216.423,1,0.6825,-2.3175,0,0.05,210
17.03,-3.98267e-10,0,-216.423,1,0.68575,-2.31425,0,0.05,211
17.03,-4.00086e-10,0,-216.423,1,0.689,-2.311,0,0.05,212
17.03,-4.01906e-10,0,-216.423,1,0.69225,-2.30775,0,0.05,213
17.03,-4.03725e-10,0,-216.423,1,0.6955,-2.3045,0,0.05,214
